City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Cherskiy,68.75,161.3,51.51,62,0,7.56,RU,1627077440
Narón,43.5167,-8.1528,65.25,93,22,1.01,ES,1627077372
Coyhaique,-45.5752,-72.0662,43.41,96,55,5.82,CL,1627077388
San Patricio,28.017,-97.5169,94.53,48,0,17.54,US,1627077652
Cidreira,-30.1811,-50.2056,59.81,79,0,8.59,BR,1627077652
Richards Bay,-28.783,32.0377,59.36,63,76,15.95,ZA,1627077653
La Palma,33.8464,-118.0467,104.02,61,1,7.0,US,1627077653
Dingle,10.9995,122.6711,78.35,86,100,13.06,PH,1627077654
Qui Nhon,13.7667,109.2333,82.2,70,100,14.12,VN,1627077609
Touros,-5.1989,-35.4608,77.05,80,4,16.2,BR,1627077654
Coahuayana Viejo,18.7333,-103.6833,90.3,66,92,6.42,MX,1627077655
Upernavik,72.7868,-56.1549,40.28,93,100,6.44,GL,1627077545
São João da Barra,-21.6403,-41.0511,68.34,66,0,9.64,BR,1627077655
Caxito,-8.5785,13.6643,66.96,95,83,1.63,AO,1627077656
Codrington,-38.2667,141.9667,48.31,91,100,24.16,AU,1627077656
Slave Lake,55.2834,-114.769,70.61,41,69,17.22,CA,1627077657
Badarwās,24.9667,77.5667,78.31,87,100,9.98,IN,1627077657
Cape Town,-33.9258,18.4232,50.11,65,0,1.59,ZA,1627077658
Cascais,38.6979,-9.4215,68.47,75,40,4.0,PT,1627077658
Alofi,-19.0595,-169.9187,77.45,82,7,17.09,NU,1627077652
Pevek,69.7008,170.3133,37.69,96,100,2.82,RU,1627077651
Dzerzhinsk,56.2389,43.4631,57.02,93,0,6.71,RU,1627077659
Nipawin,53.3668,-104.0009,80.46,26,51,22.3,CA,1627077660
Bengkulu,-3.8004,102.2655,74.84,85,47,4.63,ID,1627077660
Lapa,-25.7697,-49.7158,54.37,63,0,2.26,BR,1627077660
George Town,5.4112,100.3354,81.9,86,20,1.99,MY,1627077478
Bluff,-46.6,168.3333,45.81,79,75,11.01,NZ,1627077661
San Quintín,30.4833,-115.95,75.72,66,65,10.78,MX,1627077662
Hermanus,-34.4187,19.2345,48.9,76,0,12.19,ZA,1627077652
Sørland,67.667,12.6934,51.93,96,100,12.5,NO,1627077663
Belyy Yar,53.6039,91.3903,62.49,94,0,2.24,RU,1627077663
Hualmay,-11.0964,-77.6139,64.9,79,29,10.58,PE,1627077664
Toledo,39.8333,-4.0,79.3,26,0,11.16,ES,1627077664
Myitkyina,25.3833,97.4,75.09,99,87,0.2,MM,1627077664
Barrow,71.2906,-156.7887,34.81,91,100,14.16,US,1627077564
Vestmannaeyjar,63.4427,-20.2734,53.2,98,100,15.66,IS,1627077665
Machaneng,-23.1862,27.4886,49.05,52,0,10.49,BW,1627077665
Río Gallegos,-51.6226,-69.2181,37.45,81,0,8.05,AR,1627077426
Göksun,38.021,36.4973,68.95,65,0,6.76,TR,1627077666
Emba,48.8264,58.1442,76.53,54,100,9.33,KZ,1627077667
Castro,-24.7911,-50.0119,54.68,77,0,3.31,BR,1627077564
Sidvokodvo,-26.6282,31.4202,45.64,64,0,4.23,SZ,1627077667
Kapaa,22.0752,-159.319,84.18,79,29,4.0,US,1627077668
Misratah,32.3754,15.0925,79.66,74,0,10.58,LY,1627077668
Bredasdorp,-34.5322,20.0403,46.18,85,0,11.16,ZA,1627077669
Port Hardy,50.6996,-127.4199,58.87,87,100,4.14,CA,1627077613
Chodavaram,17.8333,82.95,79.12,80,100,4.21,IN,1627077669
Baykit,61.67,96.37,62.53,83,76,1.36,RU,1627077670
Sur,22.5667,59.5289,90.3,60,51,13.71,OM,1627077594
Kincardine,56.0667,-3.7167,63.39,87,88,4.83,GB,1627077430
Haines Junction,60.7522,-137.5108,68.54,39,27,7.92,CA,1627077670
Otjimbingwe,-22.35,16.1333,55.72,8,0,10.0,NA,1627077671
Ponta do Sol,32.6667,-17.1,72.23,68,2,7.29,PT,1627077611
Bollnäs,61.3482,16.3946,55.38,74,0,3.58,SE,1627077671
Mālpura,26.2833,75.3833,79.07,84,36,5.84,IN,1627077672
Bethel,41.3712,-73.414,81.01,65,69,4.59,US,1627077672
Saint George,37.1041,-113.5841,100.87,27,21,1.99,US,1627077548
Qaanaaq,77.484,-69.3632,43.32,58,20,3.85,GL,1627077411
Byron Bay,-28.65,153.6167,60.87,86,14,7.09,AU,1627077673
Ouro Fino,-22.2831,-46.3692,58.77,39,0,3.74,BR,1627077674
Sola,-13.8833,167.55,79.83,81,85,17.52,VU,1627077674
Mayahi,13.9553,7.6712,80.28,65,92,13.67,NE,1627077675
Itaituba,-4.2761,-55.9836,84.78,43,64,2.51,BR,1627077675
Mount Gambier,-37.8333,140.7667,46.87,91,100,12.75,AU,1627077675
Ambon City,-3.6954,128.1814,77.14,94,40,5.75,ID,1627077676
Kavaratti,10.5669,72.642,81.7,82,93,21.63,IN,1627077601
Paungde,18.4833,95.5,75.85,98,77,5.53,MM,1627077676
Sovetskiy,61.3614,63.5842,49.75,95,56,5.06,RU,1627077677
Amapá,1.0,-52.0,75.61,76,72,2.93,BR,1627077677
Canoinhas,-26.1772,-50.39,54.77,65,0,2.01,BR,1627077678
Gambēla,8.25,34.5833,69.8,97,100,1.25,ET,1627077678
Camacupa,-12.0167,17.4833,55.33,25,100,4.25,AO,1627077678
Moree,-29.4667,149.85,48.31,91,5,9.6,AU,1627077679
Tegul'det,57.3064,88.1667,56.14,87,0,6.2,RU,1627077680
Kysyl-Syr,63.8986,122.7617,66.07,70,100,5.35,RU,1627077680
Lerwick,60.1545,-1.1494,53.6,94,45,9.53,GB,1627077680
Chui,-33.6971,-53.4616,60.21,86,5,4.41,UY,1627077681
Iskateley,67.6803,53.1512,43.88,83,99,4.47,RU,1627077681
Pekalongan,-6.8886,109.6753,77.02,79,8,3.76,ID,1627077682
Ayagoz,47.9714,80.4392,65.16,58,65,6.08,KZ,1627077682
Beidao,34.5686,105.8933,69.37,93,91,3.62,CN,1627077683
Kungurtug,50.5994,97.5228,60.85,80,94,2.59,RU,1627077683
La Asuncion,11.0333,-63.8628,83.93,79,65,12.66,VE,1627077683
Khovd,48.0056,91.6419,67.35,52,22,3.62,MN,1627077651
Sakakah,29.9697,40.2064,88.72,23,0,8.66,SA,1627077684
Tisul',55.7611,88.3122,57.99,85,96,4.25,RU,1627077684
Los Baños,14.1667,121.1833,79.63,87,100,12.77,PH,1627077685
Chokurdakh,70.6333,147.9167,42.3,67,74,13.2,RU,1627077685
Lata,40.1629,-8.3327,63.01,96,46,2.57,PT,1627077434
Arraial do Cabo,-22.9661,-42.0278,69.58,68,0,18.5,BR,1627077686
Ingham,42.6,-84.3833,78.75,82,90,9.22,US,1627077687
Lompoc,34.6391,-120.4579,91.69,63,66,7.0,US,1627077487
Sanmenxia,34.7747,111.1814,72.84,92,99,5.93,CN,1627077584
Tocopilla,-22.092,-70.1979,61.84,73,20,9.08,CL,1627077541
Port Macquarie,-31.4333,152.9167,50.9,76,50,7.92,AU,1627077688
Verāval,20.9,70.3667,82.26,84,98,17.98,IN,1627077688
Carutapera,-1.195,-46.02,75.63,92,18,6.98,BR,1627077689
Greenwood,34.1668,-82.1165,90.99,65,93,1.01,US,1627077538
Buala,-8.145,159.5921,82.74,77,88,6.55,SB,1627077689
Ilulissat,69.2167,-51.1,38.66,95,100,4.92,GL,1627077582
Zhezkazgan,47.8043,67.7144,79.02,30,0,6.38,KZ,1627077471
San Vicente,-26.6167,-54.1333,61.11,54,0,2.82,AR,1627077690
Plettenberg Bay,-34.0527,23.3716,48.96,73,5,7.54,ZA,1627077691
Manadhoo,5.7667,73.3833,82.29,77,93,12.91,MV,1627077691
Betanzos,43.2804,-8.2147,65.32,89,75,8.05,ES,1627077692
Havre-St-Pierre,50.2334,-63.5986,59.36,94,90,8.05,CA,1627077692
Necochea,-38.5473,-58.7368,50.04,88,100,11.59,AR,1627077675
New Norfolk,-42.7826,147.0587,45.75,81,73,1.43,AU,1627077693
Kavieng,-2.5744,150.7967,82.8,78,15,15.21,PG,1627077694
Knysna,-34.0363,23.0471,47.79,77,1,7.07,ZA,1627077694
Eydhafushi,5.1033,73.0708,82.4,77,66,11.54,MV,1627077695
Avera,33.194,-82.5271,91.38,58,89,5.82,US,1627077461
Nyaunglebin,17.95,96.7333,74.95,97,100,4.12,MM,1627077695
Bac Lieu,9.285,105.7244,78.75,86,100,9.82,VN,1627077469
Olinda,-8.0089,-34.8553,73.13,73,40,6.91,BR,1627077696
Salinópolis,-0.6136,-47.3561,77.67,86,52,11.65,BR,1627077696
La Ronge,55.1001,-105.2842,63.9,64,100,18.7,CA,1627077697
Abu Dhabi,24.4667,54.3667,102.31,29,0,5.75,AE,1627077526
Taywarah,33.35,64.4167,58.89,30,34,6.4,AF,1627077697
Marsh Harbour,26.5412,-77.0636,82.71,71,100,0.69,BS,1627077698
Lorengau,-2.0226,147.2712,81.66,81,30,7.47,PG,1627077547
Outlook,51.5001,-107.0513,84.02,15,1,17.94,CA,1627077698
Kita,13.0349,-9.4895,79.45,72,97,5.37,ML,1627077699
Ixtepec,16.5786,-95.1022,89.58,52,10,18.25,MX,1627077699
Luga,58.7372,29.8453,57.38,66,77,4.12,RU,1627077700
Eidfjord,60.4675,7.0719,67.59,74,7,3.42,NO,1627077700
Yangi Marg`ilon,40.4272,71.7189,78.22,27,0,2.01,UZ,1627077701
Fukuechō,32.6881,128.8419,79.74,79,100,12.26,JP,1627077701
Khatanga,71.9667,102.5,52.54,75,19,7.05,RU,1627077550
Estelle,29.8458,-90.1067,95.0,57,20,4.0,US,1627077702
Saint Paul Harbor,57.79,-152.4072,54.91,88,90,13.8,US,1627077702
Nauta,-4.5061,-73.5757,85.39,57,76,2.04,PE,1627077703
Phalombe,-15.8064,35.6507,58.93,88,100,7.7,MW,1627077703
Moramanga,-18.9333,48.2,51.28,99,70,1.39,MG,1627077704
Atherton,53.5237,-2.4935,64.78,75,100,5.99,GB,1627077704
Linhares,-19.3911,-40.0722,64.54,71,11,4.36,BR,1627077424
Clyde River,70.4692,-68.5914,39.43,87,75,23.02,CA,1627077562
Tshane,-24.0196,21.8684,39.58,21,0,7.56,BW,1627077705
Hithadhoo,-0.6,73.0833,82.08,77,100,11.48,MV,1627077540
Yar-Sale,66.8333,70.8333,48.54,93,88,14.88,RU,1627077457
Bandarbeyla,9.4942,50.8122,76.96,80,20,34.09,SO,1627077706
Avarua,-21.2078,-159.775,77.05,69,20,8.05,CK,1627077407
Jakar,27.5492,90.7525,56.23,94,41,2.91,BT,1627077707
Iracoubo,5.4802,-53.2011,78.89,87,86,12.41,GF,1627077707
Sikonge,-5.6333,32.7667,66.99,47,76,5.26,TZ,1627077708
Saint-Leu,-21.15,55.2833,67.06,63,4,1.34,RE,1627077708
Salinas,36.6777,-121.6555,94.69,63,1,9.33,US,1627077471
Ubari,26.5921,12.7805,83.34,17,0,10.31,LY,1627077623
Yellowknife,62.456,-114.3525,68.29,77,75,1.99,CA,1627077447
Córdoba,-31.4135,-64.1811,76.05,31,0,5.75,AR,1627077508
Opuwo,-18.0607,13.84,56.26,16,0,8.41,NA,1627077710
Peleduy,59.6289,112.7406,61.16,90,3,1.14,RU,1627077710
São Filipe,14.8961,-24.4956,73.58,76,24,8.79,CV,1627077711
Bajil,15.0584,43.2851,86.02,64,100,6.82,YE,1627077711
Naze,28.3667,129.4833,79.72,89,96,28.54,JP,1627077557
Lagoa,39.05,-27.9833,70.14,95,100,13.89,PT,1627077478
Anūpgarh,29.1911,73.2086,89.38,59,74,8.93,IN,1627077712
Geraldton,-28.7667,114.6,54.12,93,75,5.75,AU,1627077712
Lüderitz,-26.6481,15.1594,65.61,21,0,22.03,NA,1627077695
Shingū,33.7333,135.9833,78.91,80,82,4.99,JP,1627077713
Guerrero Negro,27.9769,-114.0611,81.88,54,21,15.79,MX,1627077713
Mar del Plata,-38.0023,-57.5575,59.02,56,0,1.99,AR,1627077585
Thompson,55.7435,-97.8558,77.13,27,54,16.26,CA,1627077714
Imbituba,-28.24,-48.6703,64.81,84,2,14.27,BR,1627077714
Talas,38.6908,35.5538,61.47,63,20,5.75,TR,1627077715
Collie,-33.3667,116.15,45.99,76,71,6.31,AU,1627077715
Carnarvon,-24.8667,113.6333,59.92,67,75,16.67,AU,1627077715
Sibu,2.3,111.8167,74.05,97,98,1.48,MY,1627077716
Bara,10.3744,10.7288,71.44,96,98,5.23,NG,1627077716
Springbok,-29.6643,17.8865,46.62,22,0,24.45,ZA,1627077717
Sinnamary,5.3833,-52.95,79.77,85,86,12.03,GF,1627077717
Hong Kong,22.2855,114.1577,86.38,89,74,5.99,HK,1627077464
Say,13.1007,2.3689,82.04,67,67,12.88,NE,1627077718
Omboué,-1.5746,9.2618,73.2,76,76,6.04,GA,1627077719
Rawson,-43.3002,-65.1023,49.64,36,4,10.54,AR,1627077570
Srikakulam,18.3,83.9,79.39,85,100,6.2,IN,1627077719
Kenora,49.8167,-94.4337,81.79,74,75,3.44,CA,1627077502
Yumen,40.2833,97.2,79.0,39,25,4.25,CN,1627077594
Son La,21.3167,103.9,69.24,98,95,1.3,VN,1627077720
Comodoro Rivadavia,-45.8667,-67.5,49.06,42,0,13.56,AR,1627077720
Mtambile,-5.3833,39.7,76.01,74,10,19.06,TZ,1627077721
Playa del Carmen,20.6274,-87.0799,89.06,86,99,9.91,MX,1627077721
Rafai,4.95,23.9167,69.66,96,87,2.71,CF,1627077722
Tambura,5.6,27.4667,68.23,95,80,4.79,SS,1627077722
Puruliya,23.3333,86.3667,77.83,92,100,11.56,IN,1627077722
Severo-Kuril'sk,50.6789,156.125,56.16,90,92,7.81,RU,1627077723
Mossamedes,-15.1961,12.1522,65.03,91,13,4.7,AO,1627077723
Bose,45.4612,8.0137,76.59,81,99,5.64,IT,1627077724
Lobito,-12.3481,13.5456,69.55,88,20,4.9,AO,1627077724
Alugan,12.2188,125.4808,81.34,72,100,11.68,PH,1627077724
The Valley,18.217,-63.0578,82.81,81,14,20.62,AI,1627077725
Saint-Joseph,-21.3667,55.6167,66.58,71,15,5.91,RE,1627077725
Suntar,62.1444,117.6319,63.36,75,29,5.99,RU,1627077726
Nabire,-3.3667,135.4833,74.46,93,100,3.69,ID,1627077726
Berlevåg,70.8578,29.0864,44.83,87,100,34.2,NO,1627077700
Berezovyy,51.6667,135.7,78.87,77,75,4.47,RU,1627077727
Qaqortoq,60.7167,-46.0333,55.9,74,3,3.6,GL,1627077728
Tulangan,-7.4935,112.6631,73.33,94,20,3.44,ID,1627077728
Port Moresby,-9.4431,147.1797,76.8,85,68,2.84,PG,1627077729
Trairi,-3.2778,-39.2689,79.03,77,10,12.44,BR,1627077474
Teahupoo,-17.8333,-149.2667,78.76,70,4,10.13,PF,1627077729
Palembang,-2.9167,104.7458,73.67,97,73,3.31,ID,1627077730
Narasapuram,16.45,81.6667,77.45,84,100,11.9,IN,1627077731
Laguna,38.421,-121.4238,107.2,22,1,1.01,US,1627077731
Kaeo,-35.1,173.7833,52.32,98,1,3.24,NZ,1627077732
Burnie,-41.0667,145.9167,52.92,87,100,16.44,AU,1627077732
Esmeraldas,-19.7625,-44.3139,67.06,50,0,7.96,BR,1627077691
Bereda,43.2686,-7.5406,60.55,89,5,5.03,ES,1627077733
Southbridge,42.0751,-72.0334,76.6,59,93,2.13,US,1627077733
Muğla Province,37.2303,28.3557,72.27,45,0,6.24,TR,1627077614
Makat,47.6469,53.3463,72.97,74,80,5.01,KZ,1627077734
Selenginsk,52.0064,106.8647,55.81,93,0,2.24,RU,1627077734
Lebu,-37.6167,-73.65,50.56,82,100,16.62,CL,1627077735
Hauknes,66.2833,14.0667,52.92,93,100,3.98,NO,1627077735
Khuzdar,27.7384,66.6434,82.08,46,93,1.45,PK,1627077736
Middle Island,40.8843,-72.9373,82.26,56,1,1.99,US,1627077736
Paján,-1.5667,-80.4167,82.98,63,43,4.72,EC,1627077736
Dunhua,43.3725,128.2425,71.67,79,100,3.22,CN,1627077737
Onguday,50.75,86.15,56.17,93,63,2.01,RU,1627077737
Nefteyugansk,61.0998,72.6035,61.05,90,90,7.0,RU,1627077738
Huilong,31.8111,121.655,78.98,84,100,21.05,CN,1627077738
Marzuq,14.4,46.4667,68.04,83,100,6.17,YE,1627077739
Isangel,-19.55,169.2667,79.29,77,7,4.61,VU,1627077739
Am Timan,11.0297,20.2827,75.2,76,5,4.32,TD,1627077740
Tasiilaq,65.6145,-37.6368,41.16,99,100,4.5,GL,1627077740
Ugoofaaru,5.6667,73.0,82.35,77,88,12.62,MV,1627077613
Dolores,-36.3132,-57.6792,57.69,74,99,3.13,AR,1627077741
Nisibis,37.0778,41.2178,87.15,19,0,5.55,TR,1627077741
Roebourne,-20.7833,117.1333,68.52,40,6,11.65,AU,1627077742
Boyolangu,-8.1181,111.8935,72.72,86,63,3.67,ID,1627077742
Tigil',57.8,158.6667,59.27,81,100,4.76,RU,1627077742
Mount Isa,-20.7333,139.5,58.77,47,29,6.91,AU,1627077743
Bimbo,4.2567,18.4158,72.21,88,98,3.33,CF,1627077743
Half Moon Bay,37.4636,-122.4286,98.74,57,1,13.8,US,1627077600
Murray Bridge,-35.1167,139.2667,52.12,82,33,21.16,AU,1627077744
Maceió,-9.6658,-35.7353,76.44,73,0,5.75,BR,1627077670
Jiaocheng,24.6774,116.1389,75.99,96,29,2.08,CN,1627077745
Hamilton,39.1834,-84.5333,87.1,55,7,1.99,US,1627077681
Constitución,-35.3333,-72.4167,53.94,81,100,9.01,CL,1627077456
Montague,42.5356,-72.5351,79.29,78,88,3.24,US,1627077746
Ol'ga,43.7444,135.2892,79.25,80,3,0.56,RU,1627077746
Aleksandrov Gay,50.147,48.5704,68.16,49,49,8.12,RU,1627077746
Ocampo,21.65,-101.5,74.28,31,32,8.77,MX,1627077747
São Félix do Xingu,-6.6447,-51.995,79.93,39,10,1.57,BR,1627077747
Talnakh,69.4865,88.3972,60.58,72,100,21.7,RU,1627077484
Naro Moru,-0.1676,37.0213,57.33,84,77,8.32,KE,1627077748
Scarborough,54.2797,-0.4044,62.53,83,72,1.01,GB,1627077748
Kenai,60.5544,-151.2583,60.03,86,100,0.89,US,1627077749
Keminmaa,65.8596,24.8228,47.97,81,0,3.44,FI,1627077749
El Salvador,13.8333,-88.9167,88.05,55,72,2.68,SV,1627077750
Ahipara,-35.1667,173.1667,55.45,75,2,3.4,NZ,1627077750
Saint Anthony,45.0205,-93.218,91.33,51,1,9.22,US,1627077751
Longyan,25.1072,117.0225,73.45,95,30,2.89,CN,1627077751
Kirakira,-10.4544,161.9205,82.81,74,73,4.97,SB,1627077751
Lakes Entrance,-37.8811,147.981,41.18,81,98,6.17,AU,1627077752
Nikolskoye,59.7035,30.7861,60.03,63,95,3.67,RU,1627077523
Pangnirtung,66.1451,-65.7125,48.67,67,99,6.87,CA,1627077656
Zanjān,36.6736,48.4787,69.17,58,0,6.98,IR,1627077753
Svetlaya,46.5389,138.3297,73.13,86,71,0.67,RU,1627077753
Charlestown,-32.95,151.6667,57.94,81,68,3.0,AU,1627077754
Sitka,57.0531,-135.33,57.09,88,75,5.75,US,1627077754
Northam,51.0333,-4.2167,71.65,81,100,16.31,GB,1627077754
Cedar City,37.6775,-113.0619,81.39,44,86,10.27,US,1627077755
Tsabong,-26.0217,22.401,41.97,25,0,9.35,BW,1627077755
Chernyshevskiy,63.0128,112.4714,60.71,69,9,1.97,RU,1627077756
Mt. Pleasant,32.7941,-79.8626,88.3,77,1,1.01,US,1627077756
Talcahuano,-36.7167,-73.1167,54.57,74,100,4.23,CL,1627077757
Cabo San Lucas,22.8909,-109.9124,98.82,64,0,11.07,MX,1627077757
Nizhniy Kuranakh,58.8353,125.4869,63.16,99,100,2.19,RU,1627077758
Samarai,-10.6167,150.6667,80.33,85,70,8.55,PG,1627077663
Labuhan,-6.8844,112.2051,75.69,79,6,8.72,ID,1627077758
Aplahoué,6.9333,1.6833,72.61,84,32,7.67,BJ,1627077759
Gravdal,68.1214,13.5031,51.76,95,100,10.51,NO,1627077759
San Policarpo,12.1791,125.5072,81.66,72,100,12.5,PH,1627077759
Gornopravdinsk,60.05,69.9,56.03,87,66,4.12,RU,1627077760
Broome,42.2506,-75.833,76.69,65,1,3.0,US,1627077531
Bathsheba,13.2167,-59.5167,81.36,80,18,13.65,BB,1627077761
Trincomalee,8.5711,81.2335,81.03,74,100,23.78,LK,1627077529
Karratha,-20.7377,116.8463,68.43,41,7,11.36,AU,1627077761
Kichmengskiy Gorodok,59.9816,45.7854,47.64,96,97,6.73,RU,1627077762
Ambilobe,-13.2,49.05,64.49,84,0,3.62,MG,1627077742
Kommunisticheskiy,61.6789,64.4819,48.92,97,73,5.01,RU,1627077762
Dan Khun Thot,15.2085,101.7714,79.59,79,100,14.18,TH,1627077763
Berbera,10.4396,45.0143,86.32,56,83,13.85,SO,1627077763
Klaksvík,62.2266,-6.589,50.92,91,77,17.2,FO,1627077764
Aksha,50.2814,113.2867,57.85,79,8,5.21,RU,1627077764
Beisfjord,68.3751,17.5988,52.25,98,100,4.14,NO,1627077765
Morro Bay,35.3658,-120.8499,97.74,58,34,8.99,US,1627077765
Sayyan,15.1718,44.3244,59.23,77,100,2.64,YE,1627077765
Gizo Government Station,-8.103,156.8419,82.38,73,48,3.27,SB,1627077766
Salym,60.0625,71.4789,58.19,96,100,5.28,RU,1627077766
Sangar,63.9242,127.4739,66.43,71,100,1.14,RU,1627077767
Zhuhai,22.2769,113.5678,86.11,89,20,3.44,CN,1627077767
Artesia,33.8658,-118.0831,105.39,61,1,7.0,US,1627077646
Chadan,51.2833,91.5833,60.53,92,99,2.44,RU,1627077768
Dunedin,-45.8742,170.5036,52.81,64,25,1.99,NZ,1627077769
Honningsvåg,70.9821,25.9704,45.5,85,100,32.75,NO,1627077769
Gazli,40.1333,63.45,87.21,13,0,9.62,UZ,1627077770
Itarema,-2.9248,-39.9167,78.98,77,13,16.02,BR,1627077770
Gornoye Loo,43.7129,39.6049,69.58,83,2,6.44,RU,1627077770
Eldorado,-23.7869,-54.2836,66.07,64,0,6.82,BR,1627077771
Bahir Dar,11.5936,37.3908,60.51,95,100,4.65,ET,1627077616
Peniche,39.3558,-9.3811,67.62,88,68,9.6,PT,1627077772
Xifeng,42.7372,124.7222,74.39,82,54,3.15,CN,1627077772
Adana Province,36.985,35.2881,81.12,86,20,0.0,TR,1627077684
Moindou,-21.6924,165.677,66.15,75,32,1.5,NC,1627077773
